test_example_id,predicted_category
0,f
1,m
2,f
3,m
4,m
5,f
6,m
7,f
8,f
9,m
10,m
11,m
12,f
13,m
14,f
15,f
16,m
17,m
18,m
19,f
20,m
21,m
22,m
23,m
24,f
25,m
26,f
27,f
28,f
29,m
30,m
31,f
32,f
33,f
34,f
35,m
36,m
37,f
38,m
39,f
40,f
41,f
42,f
43,f
44,m
45,m
46,m
47,m
48,m
49,f
50,f
51,f
52,m
53,m
54,f
55,f
56,m
57,f
58,f
59,m
60,m
61,m
62,f
63,m
64,f
65,f
66,m
67,f
68,f
69,f
70,m
71,m
72,m
73,f
74,f
75,m
76,f
77,m
78,f
79,m
80,f
81,f
82,f
83,m
84,m
85,f
86,f
87,m
88,m
89,m
90,m
91,f
92,m
93,m
94,m
95,m
96,m
97,m
98,m
99,f
100,m
101,m
102,f
103,m
104,f
105,m
106,m
107,m
108,m
109,m
110,f
111,m
112,m
113,m
114,f
115,f
116,m
117,m
118,m
119,m
120,m
121,f
122,f
123,f
124,m
125,f
126,f
127,f
128,f
129,f
130,m
131,m
132,m
133,f
134,m
135,f
136,f
137,m
138,m
139,m
140,m
141,f
142,m
143,m
144,m
145,m
146,m
147,f
148,f
149,f
150,m
151,m
152,f
153,m
154,m
155,m
